"No.","業種","屋号","営業所所在地","営業所電話番号","申請者氏名","代表者氏名","申請者住所","申請年月日","許可年月日","初許可年月日","有効期間開始日","有効期間満了日","備考","LocName","fX","fY","iConf","iLvl"
1,飲食店営業（一般食堂）,料理茶屋　山の庄,熊本市中央区水前寺1丁目31-3,381-9177,庄山　諭,,,2020年11月18日,2020年11月18日,1986年11月17日,2020年12月1日,2026年11月30日,,"熊本県/熊本市/中央区/水前寺/一丁目/３１番/３号","130.73030","32.79453","5","8"
2,飲食店営業（一般食堂）,酔陣,熊本市中央区九品寺1丁目4-11,,江藤　富美子,,,2020年8月20日,2020年8月20日,1992年4月1日,2020年9月1日,2026年5月31日,,"熊本県/熊本市/中央区/九品寺/一丁目/４番/１１号","130.71536","32.80006","5","8"
3,飲食店営業（一般食堂）,蔵八,熊本市中央区帯山5丁目41-47,383-6478,島田　榮次,,,2020年2月5日,2020年2月12日,1992年1月30日,2020年3月1日,2026年2月28日,,"熊本県/熊本市/中央区/帯山/五丁目/４１番/４７号","130.75449","32.80055","5","8"
4,飲食店営業（一般食堂）,大番外,熊本市東区東本町1-91,367-8403,新堀　嘉子,,,2020年5月11日,2020年5月11日,1992年4月15日,2020年9月1日,2026年5月31日,,"熊本県/熊本市/東区/東本町/１番/９１号","130.76147","32.77930","5","8"
5,飲食店営業（一般食堂）,焼肉の宮崎,熊本市東区健軍本町30-1,367-7961,住吉　幸夫,,,2020年7月21日,2020年7月21日,1986年3月28日,2020年9月1日,2026年5月31日,,"熊本県/熊本市/東区/健軍本町/３０番/１号","130.75993","32.78645","5","8"
6,飲食店営業（一般食堂）,奈仁和,熊本市中央区九品寺5丁目7-25イーストハウス101号,371-7484,東　忠義,,,2019年5月17日,2019年5月20日,1988年3月10日,2019年6月1日,2025年5月31日,,"熊本県/熊本市/中央区/九品寺/五丁目/７番/２５号","130.71577","32.79090","5","8"
7,飲食店営業（一般食堂）,有限会社ステーキ松下,熊本市中央区水前寺1丁目9-2,382-8388,㈲ステーキ松下,松下　和弘,熊本市中央区水前寺1丁目9-2,2019年11月20日,2019年11月22日,1978年10月3日,2019年12月1日,2025年11月30日,,"熊本県/熊本市/中央区/水前寺/一丁目/９番/２号","130.72939","32.79527","5","8"
8,飲食店営業（一般食堂）,センターリバー浜線店,熊本市中央区八王寺町34-16-2F,378-9191,㈱センターリバー,中川　秋夫,熊本市中央区八王寺町34-16,2020年8月6日,2020年8月6日,1992年7月8日,2020年9月1日,2026年8月31日,,"熊本県/熊本市/中央区/八王寺町/３４番/１６号","130.71503","32.78083","5","8"
9,飲食店営業（一般食堂）,喫茶　遊快,熊本市東区東野1丁目3-43,365-3450,久野　精一,,,2020年1月30日,2020年2月6日,1988年11月21日,2020年3月1日,2025年2月28日,,"熊本県/熊本市/東区/東野/一丁目/３番/４３号","130.76709","32.77749","5","8"
10,飲食店営業（一般食堂）,スナック秋桜,熊本市東区若葉1丁目42-10,369-7222,小原　節子,,,2018年11月21日,2018年11月29日,1987年9月28日,2018年12月1日,2024年11月30日,,"熊本県/熊本市/東区/若葉/一丁目/４２番/１０号","130.76259","32.77666","5","8"
